,App_Id,Name,Developer,Publisher,Score_Rank,Postive_Reviews,Negative_Reviews,Userscore,Owners,Avg_Playtime_Two_Weeks,Median_Playtime_Two_Weeks,Current_Price,Initial_Price,Discount,Peak_CCU,Languages,Genre,Free to Play,Battle Royale,Multiplayer,FPS,Shooter,First-Person,PvP,Action,Hero Shooter,Team-Based,Tactical,Sci-fi,Survival,Loot,Character Customization,Funny,Co-op,Lore-Rich,Cyberpunk,Cinematic,Competitive,e-sports,Online Co-Op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable,MOBA,RTS,RPG,Tower Defense,Fantasy,Replay Value,Action RPG,Simulation,Sandbox,Physics,Building,Casual,Singleplayer,Comedy,Indie,Exploration,Open World,Crime,Automobile Sim,Third Person,Mature,Adventure,Third-Person Shooter,Racing,Atmospheric,Great Soundtrack,Zombies,Horror,Gore,Survival Horror,Post-apocalyptic,Local Co-Op,Early Access,Stealth,Class-Based,Cartoony,Robots,Cartoon,Crafting,Open World Survival Craft,2D,Pixel Graphics,Platformer,Destruction,3D
0,1172470,Apex Legends,Respawn,Electronic Arts,,646945,185563,0,"50,000,000 .. 100,000,000",672,340,0,0,0,133691,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Arabic","Action, Adventure, Free to Play",1980.0,1368.0,1349,1288.0,1251.0,1048.0,872.0,775,713.0,708.0,535.0,486.0,476.0,471.0,463.0,436.0,430,358.0,346.0,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,730,Counter-Strike: Global Offensive,Valve,Valve,,7042784,1034886,0,"100,000,000 .. 200,000,000",745,280,0,0,0,1003113,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese, Indonesian","Action, Free to Play",,,61821,90109.0,64818.0,39102.0,34173.0,47184,,46077.0,41055.0,,,,,,30051,,,,52909.0,43167.0,33722.0,29913.0,28522.0,27837.0,25820.0,25494.0,25271.0,25193.0,6460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,570,Dota 2,Valve,Valve,,1843054,410804,0,"200,000,000 .. 500,000,000",1640,830,0,0,0,612102,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese","Action, Strategy, Free to Play",59592.0,,15168,,,,5952.0,7845,,10831.0,,,,,2875.0,,4231,,,,8176.0,11640.0,7369.0,14106.0,,,5236.0,,,,,19977.0,4043.0,3723.0,3712.0,3689.0,2715.0,2412.0,1940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4000,Garry's Mod,Facepunch Studios,Valve,,1036289,34975,0,"20,000,000 .. 50,000,000",171,104,999,999,0,29049,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian","Casual, Indie, Simulation",,,14263,12724.0,12714.0,12755.0,8908.0,12708,,,,,,,,12781.0,12724,,,,,,12734.0,,,,,,8887.0,,14275.0,,,,,,,,12725.0,18409.0,14255.0,14236.0,13070.0,12759.0,12708.0,12670.0,8864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,271590,Grand Theft Auto V,Rockstar North,Rockstar Games,,1568932,237576,0,"50,000,000 .. 100,000,000",507,134,2040,2040,0,114080,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Japanese, Simplified Chinese, Spanish - Latin America","Action, Adventure",,,21351,,14686.0,18062.0,,23189,,,,,,,,9239.0,10089,,,,,,,,,,,,,,6805.0,,,,,,,,,9851.0,,,,12263.0,8463.0,,,32016.0,19076.0,18585.0,18421.0,14770.0,13436.0,11808.0,11408.0,9817.0,8598.0,,,,,,,,,,,,,,,,,,,
0,550,Left 4 Dead 2,Valve,Valve,,836632,21261,0,"50,000,000 .. 100,000,000",62,29,999,999,0,16510,"Danish, Dutch, English, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",Action,,,9286,9944.0,6988.0,4502.0,,6612,,3555.0,1980.0,,5645.0,,,,11261,,,,,,6695.0,,,,,,,,3019.0,,,,,,2062.0,,,,,,,2404.0,,,,,,,,,2164.0,,,,,21032.0,5385.0,4211.0,2961.0,2863.0,2108.0,,,,,,,,,,,,,
0,578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",,1385753,983594,0,"50,000,000 .. 100,000,000",477,177,0,0,0,287938,"English, Korean, Simplified Chinese, French, German, Spanish - Spain, Arabic, Japanese, Polish, Portuguese - Portugal, Russian, Turkish, Thai, Italian, Portuguese - Brazil, Traditional Chinese, Ukrainian","Action, Adventure, Massively Multiplayer, Free to Play",,10701.0,10659,8252.0,12489.0,4006.0,7600.0,5927,,2021.0,4974.0,,14629.0,,,,4247,,,,2359.0,,5269.0,3050.0,,,1697.0,,,,,,,,,,,,1343.0,,,,,,,,,,,,2306.0,,,7207.0,,,,,,,,,,2803.0,1255.0,,,,,,,,,,,
0,440,Team Fortress 2,Valve,Valve,,956242,125664,0,"50,000,000 .. 100,000,000",570,111,0,0,0,81137,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian","Action, Free to Play",62521.0,,22598,15503.0,12582.0,7809.0,,11981,60926.0,9294.0,3941.0,,,,,9231.0,5742,,,,7018.0,,7240.0,,,,,6748.0,,,,,,,,,,,,,,,,,5277.0,,,,,,,,,,,,,,,,,,,,,9687.0,7012.0,4862.0,3884.0,3645.0,,,,,,
0,105600,Terraria,Re-Logic,Re-Logic,,1261157,30755,0,"20,000,000 .. 50,000,000",350,113,999,999,0,30740,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese","Action, Adventure, Indie, RPG",,,12175,,,,,5539,,,,,12458.0,,,,7643,,,,,,5959.0,,,,,,,,,,,5161.0,,,4225.0,,,15725.0,,9877.0,,5043.0,,5903.0,8708.0,7394.0,,,,,11330.0,,,3462.0,,,,,,,,,,,,,,10374.0,15969.0,12250.0,10877.0,3936.0,,
0,359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,,1099408,192381,0,"20,000,000 .. 50,000,000",473,286,1999,1999,0,64863,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Simplified Chinese, Turkish, Thai",Action,,,8959,9701.0,8952.0,4846.0,9083.0,8879,8839.0,5580.0,8958.0,,,,,,4829,,,,8906.0,9028.0,8894.0,4862.0,4922.0,4841.0,2066.0,,4831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4822.0,1865.0
